year,month,uganda,tanzania,zambia,egypt,rwanda,zimbabwe,ethiopia,somalia,s.africa,drc,other,total
2024,September,49585,5754,610,2060,4615,241,1182,2127,242,2214,5800,74431
2024,January,63544,5285,779,2915,3289,307,1188,1251,508,2772,5491,87329
2024,July,51774,5568,795,1760,3634,196,1305,1266,514,2881,8157,77850
2024,December,43827,6102,827,2344,2979,256,1256,1121,969,2624,6277,68582
2024,October,45526,5924,838,1887,3378,337,1327,1492,876,3542,5898,71026
2024,May,57838,5405,749,1101,3228,209,862,1414,475,2470,5621,79371
2024,June,53863,5080,841,1793,3677,166,1133,1129,422,2308,5010,75421
2024,March,50937,5299,822,3570,3424,192,1443,1748,538,2723,6890,77586
2024,August,59579,5911,824,1913,4201,179,1541,1637,528,3052,5870,85236
2024,April,52855,4580,993,1876,2932,228,1187,1195,484,1785,6940,75056
